Species,Weight,LengthDiagonal,Height,Width
Perch,145.0,22.7,5.9532,3.63
Perch,150.0,23.0,5.2185,3.6260000000000003
Perch,170.0,23.5,6.275,3.725
Perch,225.0,24.0,7.292999999999999,3.7230000000000003
Perch,145.0,24.0,6.375,3.825
Perch,188.0,24.6,6.7334,4.1658
Perch,180.0,25.0,6.4395,3.6835
Perch,197.0,25.6,6.561,4.239
Perch,218.0,26.5,7.167999999999999,4.144
Perch,300.0,27.3,8.323,5.1373
Perch,260.0,27.5,7.1672,4.335
Perch,265.0,27.5,7.0516,4.335
Perch,250.0,27.5,7.2828,4.5662
Perch,250.0,28.0,7.8204,4.2042
Perch,300.0,28.7,7.5852,4.6354
Perch,320.0,30.0,7.6156,4.7716
Perch,514.0,32.8,10.03,6.018
Perch,556.0,34.5,10.2565,6.3875
Perch,840.0,35.0,11.4884,7.7957
Perch,685.0,36.5,10.880999999999998,6.864
Perch,700.0,36.0,10.6091,6.7408
Perch,700.0,37.0,10.835,6.2646
Perch,690.0,37.0,10.5717,6.3666
Perch,900.0,39.0,11.1366,7.4934
Perch,650.0,39.0,11.1366,6.002999999999999
Perch,820.0,39.0,12.4313,7.3514
Perch,850.0,40.0,11.9286,7.1064
Perch,900.0,40.0,11.73,7.225
Perch,1015.0,40.0,12.3808,7.4624
Perch,820.0,40.0,11.135,6.63
Perch,1100.0,42.0,12.8002,6.8684
Perch,1000.0,43.0,11.9328,7.2772
Perch,1100.0,43.0,12.5125,7.4165
Perch,1000.0,43.5,12.604000000000001,8.142000000000001
Perch,1000.0,44.0,12.4888,7.5958
Pike,200.0,32.3,5.568,3.3756
Pike,300.0,34.0,5.7078,4.158
Pike,300.0,35.0,5.9364,4.3844
Pike,300.0,37.3,6.2884,4.0198
Pike,430.0,38.0,7.29,4.5765
Pike,345.0,38.5,6.396,3.977
Pike,456.0,42.5,7.28,4.3225
Pike,510.0,42.5,6.825,4.459
Pike,540.0,43.0,7.7860000000000005,5.1296
Pike,500.0,45.0,6.96,4.896
Pike,567.0,46.0,7.792000000000001,4.87
Pike,770.0,48.0,7.68,5.376
Pike,950.0,51.7,8.9262,6.1712
Pike,1250.0,56.0,10.6863,6.9849
Pike,1600.0,60.0,9.6,6.144
Pike,1550.0,60.0,9.6,6.144
Pike,1650.0,63.4,10.812000000000001,7.48
Smelt,6.7,9.8,1.7388,1.0476
Smelt,7.5,10.5,1.972,1.16
Smelt,7.0,10.6,1.7284,1.1484
Smelt,9.7,11.0,2.1959999999999997,1.38
Smelt,9.8,11.2,2.0832,1.2772
Smelt,8.7,11.3,1.9782,1.2852
Smelt,10.0,11.8,2.2139,1.2838
Smelt,9.9,11.8,2.2139,1.1659
Smelt,9.8,12.0,2.2044,1.1484
Smelt,12.2,12.2,2.0904,1.3936
Smelt,13.4,12.4,2.43,1.2690000000000001
Smelt,12.2,13.0,2.2769999999999997,1.2558
Smelt,19.7,14.3,2.8728,2.0672
Smelt,19.9,15.0,2.9322,1.8792
